number,message,who
1,"Ipsum dolore illo ea officiis tempore tempora repellendus sed, suscipit aut, inventore debitis consectetur, dolor temporibus?",outgoing
2,Ipsam sequi,incoming
3,"Lorem ipsum dolor, sit amet consectetur adipisicing elit",outgoing
4,"Lorem ipsum dolor, sit amet consectetur adipisicing elit",outgoing
5,"Lorem ipsum dolor, sit amet consectetur adipisicing elit",outgoing
6,"Ipsum dolore illo ea officiis tempore tempora repellendus sed, suscipit aut, inventore debitis consectetur, dolor temporibus?",incoming
7,Ipsam sequi,incoming
8,"Lorem ipsum dolor, sit amet consectetur adipisicing elit",incoming
9,"Lorem ipsum dolor, sit amet consectetur adipisicing elit",incoming
10,"Lorem ipsum dolor, sit amet consectetur adipisicing elit",outgoing
11,"Lorem ipsum dolor, sit amet consectetur adipisicing elit",outgoing
12,"Ipsum dolore illo ea officiis tempore tempora repellendus sed, suscipit aut, inventore debitis consectetur, dolor temporibus?",incoming
13,Ipsam sequi,incoming
14,"Lorem ipsum dolor, sit amet consectetur adipisicing elit",outgoing
15,"Lorem ipsum dolor, sit amet consectetur adipisicing elit",incoming
16,"Lorem ipsum dolor, sit amet consectetur adipisicing elit",incoming
17,"Ipsum dolore illo ea officiis tempore tempora repellendus sed, suscipit aut, inventore debitis consectetur, dolor temporibus?",incoming
18,Ipsam sequi,outgoing
19,"Lorem ipsum dolor, sit amet consectetur adipisicing elit",incoming
20,"Lorem ipsum dolor, sit amet consectetur adipisicing elit",incoming
21,"Lorem ipsum dolor, sit amet consectetur adipisicing elit",outgoing
22,"Ipsum dolore illo ea officiis tempore tempora repellendus sed, suscipit aut, inventore debitis consectetur, dolor temporibus?",outgoing
23,Ipsam sequi,outgoing
24,"Lorem ipsum dolor, sit amet consectetur adipisicing elit",outgoing
25,"Lorem ipsum dolor, sit amet consectetur adipisicing elit",incoming
26,"Lorem ipsum dolor, sit amet consectetur adipisicing elit",incoming
27,"Ipsum dolore illo ea officiis tempore tempora repellendus sed, suscipit aut, inventore debitis consectetur, dolor temporibus?",incoming
28,Ipsam sequi,incoming
29,"Lorem ipsum dolor, sit amet consectetur adipisicing elit",incoming
30,"Lorem ipsum dolor, sit amet consectetur adipisicing elit",outgoing
31,"Lorem ipsum dolor, sit amet consectetur adipisicing elit",outgoing
32,"Ipsum dolore illo ea officiis tempore tempora repellendus sed, suscipit aut, inventore debitis consectetur, dolor temporibus?",incoming
33,Ipsam sequi,outgoing
34,"Lorem ipsum dolor, sit amet consectetur adipisicing elit",incoming
35,"Lorem ipsum dolor, sit amet consectetur adipisicing elit",incoming
36,"Lorem ipsum dolor, sit amet consectetur adipisicing elit",incoming
37,"Ipsum dolore illo ea officiis tempore tempora repellendus sed, suscipit aut, inventore debitis consectetur, dolor temporibus?",outgoing
38,Ipsam sequi,incoming
39,"Lorem ipsum dolor, sit amet consectetur adipisicing elit",outgoing
40,"Lorem ipsum dolor, sit amet consectetur adipisicing elit",incoming
41,"Lorem ipsum dolor, sit amet consectetur adipisicing elit",outgoing
42,"Ipsum dolore illo ea officiis tempore tempora repellendus sed, suscipit aut, inventore debitis consectetur, dolor temporibus?",incoming
43,🙌,outgoing
